FechaPublicacion,Fecha,CodigoLinea,NombreLinea,CodigoOperador,FPO,Sistema,Tension,Longitud,ParticipacionLineaNivelTension,ParticipacionLineaTotal,LongitudNivelTension,LongitudTotal,CodigoSubAreaOperativa,CodigoAreaOperativa,CodigoSubestacionOrigen,CodigoAreaOperativaOrigen,CodigoSubAreaOperativaOrigen,CodigoSubestacionDestino,CodigoAreaOperativaDestino,CodigoSubAreaOperativaDestino,CodigoDuracion
2024-12-31,2024-12-31,Lin1397,CHINU - MONTERIA (ISA) 1 230 kV,Cia5844,2018-12-27,Uso STN,230.0,65.49,0.006,0.0022,10999.56,30375.9,Are0021,Are0127,Sub0054,Are0127,Are0021,Sub0759,Are0127,Are0021,P1D
2024-12-31,2024-12-31,Lin1272,LA MOJANA - SAN MARCOS (SUCRE) 1 110 kV,Cia6067,2014-03-07,Uso STR,110.0,46.75,0.0121,0.0015,3862.77,30375.9,Are0021,Are0127,Sub0400,Are0127,Are0021,Sub0710,Are0127,Are0021,P1D
2024-12-31,2024-12-31,Lin0817,CHINU - COVEÑAS 1 110 kV,Cia6067,1999-09-08,Uso STR,110.0,45.0,0.0116,0.0015,3862.77,30375.9,Are0021,Are0127,Sub0054,Are0127,Are0021,Sub0376,Are0127,Are0021,P1D
2024-12-31,2024-12-31,Lin0814,COVEÑAS - TOLUVIEJO 1 110 kV,Cia6067,1967-01-01,Uso STR,110.0,26.9,0.007,0.0009,3862.77,30375.9,Are0021,Are0127,Sub0208,Are0127,Are0021,Sub0376,Are0127,Are0021,P1D
2024-12-31,2024-12-31,Lin0715,EL CARMEN - ZAMBRANO 1 66 kV,Cia6067,2012-03-12,Uso STR,66.0,32.67,0.101,0.0011,323.59,30375.9,Are0021,Are0127,Sub0322,Are0127,Are0021,Sub0342,Are0127,Are0021,P1D
2024-12-31,2024-12-31,Lin1528,CHINU - SAHAGUN 1 500 kV,Cia5844,2022-08-06,Uso STN,500.0,53.0,0.0138,0.0017,3833.09,30375.9,Are0021,Are0127,Sub0054,Are0127,Are0021,Sub0813,Are0127,Are0021,P1D
2024-12-31,2024-12-31,Lin0806,APARTADO - URABA 1 110 kV,Cia0021,1999-01-01,Uso STR,110.0,22.0,0.0057,0.0007,3862.77,30375.9,Are0021,Are0127,Sub0007,Are0127,Are0021,Sub0372,Are0127,Are0021,P1D
2024-12-31,2024-12-31,Lin0015,APARTADO - CAUCHERAS 1 110 kV,Cia0021,2004-12-03,Uso STR,110.0,67.94,0.0176,0.0022,3862.77,30375.9,Are0021,Are0127,Sub0050,Are0127,Are0021,Sub0372,Are0127,Are0021,P1D
2024-12-31,2024-12-31,Lin1554,APARTADO - NUEVA COLONIA 1 110 kV,Cia0021,2023-03-31,Uso STR,110.0,18.3,0.0047,0.0006,3862.77,30375.9,Are0021,Are0127,Sub0372,Are0127,Are0021,Sub0823,Are0127,Are0021,P1D
2024-12-31,2024-12-31,Lin0818,EL CARMEN - TOLUVIEJO 1 110 kV,Cia6067,1998-01-01,Uso STR,110.0,58.6,0.0152,0.0019,3862.77,30375.9,Are0021,Are0127,Sub0208,Are0127,Are0021,Sub0322,Are0127,Are0021,P1D
